Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,FinalScore,EntropyChange
"CTP1-T25: scheme, channel, transmiss",0.281027976,0.27919527,0.22765344,0.171286527,0.223356649,0.296445083,0.121612052,0.267508296,0.255166563,0.24641437,0.269295899,0.309079627,0.274357192,0.309548399,0.28749626,0.036166578,0.32031019,0.172697974,0.302213369,0.14318741,0.344140892,0.110822477,0,0.133525233,0.417753416,0.199518104,0.160114842,0.244094945,0.36827105,0.19551457,0.277817062,0.093129928,0.145325965,0.123270138,0.271300956,0.119257886,0.025751844,0.075439418,0.119267001,0.32573113,242.5525051
"CTP1-T26: transmiss, feasibl, differ",0.068095659,0.152679316,0.130451793,0.126934379,0.117743504,0.181729354,0.054848514,0.160594724,0.149088107,0.142197577,0.150106459,0.175775748,0.154721051,0.186351952,0.161773186,0.008763494,0.169720156,0.088830447,0.13024974,0.106111119,0.153216455,0.082126613,0,0.098950822,0.114815982,0.089212974,0.11865544,0.091640471,0.144580915,0.021381996,0.130251295,0,0,0,0.011896181,0,0,0.055905481,0,0.173112838,31.59342466
"CTP1-T27: scheme, transmiss, key",0.329702075,0.339546503,0.277703847,0.213004701,0.27101701,0.363292343,0.146255661,0.327351421,0.311670761,0.300729829,0.327907991,0.376843468,0.334323862,0.378869355,0.350284324,0.042430636,0.388781047,0.20923718,0.357423447,0.178061824,0.408418323,0.137814159,0,0.166046348,0.403859067,0.239839766,0.199112066,0.219246994,0.363906339,0.161839107,0.274047455,0.050625272,0.07899895,0.067009439,0.178389078,0.064828385,0.013998659,0.093813279,0.064833341,0.341342348,55.44059261
"CTP1-T28: transmiss, key, scheme",0.216963834,0.179802678,0.144104624,0.096324049,0.145692289,0.182664539,0.083218674,0.166261682,0.160313642,0.155561884,0.172233216,0.196208864,0.174716298,0.192172218,0.183233829,0.027921915,0.20856912,0.113576672,0.191117091,0.080522335,0.218098234,0.062321713,0,0.07508875,0.390084226,0.136854098,0.090041583,0.25418918,0.345153965,0.232594005,0.255309511,0.142785184,0.222811239,0.188995629,0.378585393,0.182844114,0.039482278,0.042423828,0.182858089,0.26090903,68.10980035
"CTP1-T29: space, optic, communic",0.458044337,0.21067149,0.154654221,0.033635832,0.181184479,0.167304981,0.125264924,0.160733344,0.165094574,0.164538756,0.19503715,0.213808895,0.193548186,0.18450141,0.203844845,0.058947498,0.257339814,0.146437206,0.27408444,0.02811796,0.305598612,0.021762402,0,0.026220581,0.391773421,0.207730252,0.031442029,0.136151118,0.262895699,0.243467169,0.129310109,0.086505442,0.134988689,0.114501729,0.286419503,0.110774875,0.023920073,0.014814169,0.110783342,0.348044376,27.37362292
"CTP1-T30: space, optic, technolog",0.706644376,0.489160645,0.383940011,0.216816983,0.402345574,0.470270127,0.242249954,0.432866909,0.42315455,0.413088825,0.464704689,0.524609793,0.46894862,0.499594318,0.492301818,0.0909408,0.574822767,0.316619294,0.410368607,0.181248711,0.483683787,0.140280707,0,0.169018186,0.46913111,0.399371074,0.202675702,0.240771563,0.478525409,0.296919402,0.293866767,0.065141573,0.101651125,0.086223739,0.278875744,0.08341729,0.018012637,0.095492315,0.083423666,0.180286562,-82.79756107
"CTP1-T31: optic, space, direct",0.225096384,0.131481566,0.100751686,0.044613329,0.109954056,0.11834567,0.069902356,0.110473484,0.109817195,0.107976061,0.123741146,0.138235501,0.124123237,0.127272354,0.130454993,0.028968525,0.156742623,0.08740877,0.186475753,0.037294627,0.206180458,0.028864849,0,0.034778014,0.329993329,0.115519356,0.04170355,0.163592494,0.238484802,0.187704862,0.157112216,0.101596965,0.158538478,0.134477414,0.281731973,0.130100382,0.028093109,0.019648969,0.130110327,0.300777144,131.8033988
"CTP1-T32: qkd, key, protocol",0.228049119,0.316252217,0.264154473,0.22911063,0.248360791,0.356484159,0.125458554,0.318105054,0.299106871,0.286973276,0.308035358,0.357227442,0.315716495,0.368644185,0.330459157,0.029348524,0.357082694,0.189701839,0.420853331,0.191525617,0.468412692,0.148234704,0,0.178601614,0.425627345,0.205014263,0.21416753,0.193419741,0.315984632,0.096558683,0.258835364,0.02166197,0.033802739,0.028672566,0.091524716,0.027739318,0.005989865,0.100906784,0.027741439,0.349230333,1.521023087
"CTP1-T33: qkd, distribut, key",0.25790725,0.358908949,0.299846924,0.260363959,0.281813838,0.404774106,0.142257871,0.361162409,0.339551596,0.32575923,0.349613708,0.405482143,0.358350346,0.418547512,0.375080127,0.033191082,0.405189383,0.215230102,0.41359239,0.217651917,0.467552534,0.168455625,0,0.202964932,0.409437459,0.232457422,0.243382449,0.212382416,0.350925444,0.102726931,0.28785417,0.018877596,0.029457823,0.024987068,0.090097422,0.024173778,0.005219943,0.114671632,0.024175626,0.334802984,42.9643183
"CTP1-T34: qkd, key, optic",0.293748638,0.314417447,0.257955926,0.201731109,0.250365699,0.33905393,0.133858261,0.305056079,0.289893713,0.279478435,0.304023727,0.349865853,0.310214067,0.353134851,0.324975374,0.037803649,0.359273516,0.192994703,0.317838213,0.168637636,0.365062347,0.130520138,0,0.157258097,0.440718513,0.219404288,0.188573762,0.275759674,0.412336143,0.208135556,0.317264327,0.100619347,0.157012938,0.133183403,0.291392815,0.128848489,0.027822782,0.088848071,0.128858338,0.348032619,465.7941401
"CTP1-T35: channel, entangl, show",0.115873217,0.044825457,0.031624524,0,0.039498051,0.031377747,0.029160772,0.031121968,0.033073463,0.033407936,0.040887724,0.044039935,0.040173585,0.035583815,0.042393069,0.014912173,0.055926308,0.032365074,0.036879817,0,0.04357034,0,0,0,0.352509453,0.048479797,0,0.275082238,0.319315146,0.281402286,0.233101419,0.212716589,0.331936728,0.281559362,0.527779808,0.272395041,0.058819377,0,0.272415862,0.203286162,42.70021641
"CTP1-T36: entangl, qkd, state",0.492465874,0.35035668,0.275944493,0.160603047,0.287473837,0.339957832,0.171648728,0.312320469,0.304604681,0.297059299,0.333293769,0.376824894,0.336628236,0.360555083,0.353333508,0.063377339,0.410842528,0.22588004,0.294116477,0.134256528,0.346635237,0.10391026,0,0.125197,0.331689034,0.282870134,0.150128163,0.172639844,0.340946757,0.205130252,0.212840076,0.04383917,0.068409478,0.05802711,0.190632117,0.056138417,0.012122198,0.070734112,0.056142708,0.44483822,-4.999740412
"CTP1-T37: channel, qkd, learn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216108415,0,0,0.186919738,0.197991848,0.166491052,0.158393565,0.144541972,0.225552644,0.191320976,0.344873881,0.185093774,0.039968057,0,0.185107922,0.219927422,473.6216959
"CTP1-T38: entangl, qkd, scheme",0.368306946,0.168386987,0.123460086,0.026030345,0.144931409,0.133220891,0.100421973,0.12810465,0.131712708,0.131322495,0.155817708,0.170721215,0.154580167,0.147031084,0.162813569,0.047398846,0.205828164,0.117189444,0.316636539,0.021760134,0.341846474,0.016841648,0,0.020291776,0.415416144,0.166547033,0.024332589,0.110894365,0.212643014,0.197683968,0.104756443,0.071220749,0.111137465,0.094270356,0.234273618,0.091202002,0.019693622,0.011464498,0.091208973,0.393900848,291.2685028
"CTP1-T39: qkd, entangl, state",0.206882767,0.316305113,0.265674885,0.237390707,0.247312155,0.361404005,0.122591773,0.321702791,0.301522732,0.288865741,0.308790673,0.358960548,0.316930652,0.372936015,0.331642821,0.026624544,0.355793864,0.188343579,0.379358854,0.198447368,0.42692819,0.153591918,0,0.185056291,0.397588245,0.200119556,0.221907563,0.212023223,0.332614862,0.101158255,0.278030648,0.031425192,0.049037902,0.041595519,0.111121822,0.040241649,0.008689544,0.104553563,0.040244725,0.3623167,59.28570796
