Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:2,Doc:3 SubA:2,Doc:4 SubA:2,Doc:5 SubA:1,Doc:6 SubA:1,Doc:7 SubA:3,Doc:8 SubA:1,Doc:9 SubA:3,Doc:10 SubA:1,Doc:11 SubA:1,Doc:12 SubA:1,Doc:13 SubA:1,Doc:14 SubA:1,Doc:15 SubA:1,Doc:16 SubA:2,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:1,Doc:20 SubA:1,Doc:21 SubA:3,Doc:22 SubA:3,Doc:23 SubA:1,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:3,Doc:27 SubA:1,Doc:28 SubA:2,Doc:29 SubA:1,Doc:30 SubA:2,Doc:31 SubA:3,Doc:32 SubA:1,Doc:33 SubA:2,Doc:34 SubA:1,Doc:35 SubA:1
"T29: space, optic, communic",0.325393273,0.080172058,0.179256381,0.064070471,0.210003143,0.596965836,0.095914769,0.364525703,0.029200341,0.354807764,0.154971715,0.052939991,0.136171041,0.166552912,0.132184846,0.155199627,0.287364841,0.022859963,0.063132854,0.030229501,0,0.031164828,0.037780694,0.030229501,0,0.031164828,0.037780694,0.406046655,0.128676707,0.075272758,0.030274942,0.337341033,0.271249121,0.284187898,0.08991171
"T30: space, optic, technolog",0.321793003,0.014736719,0.052791612,0.006690513,0.092808471,0.641184905,0,0.124510979,0,0.275291067,0.045854039,0.021022338,0.051469281,0.230896317,0.090898854,0.052819311,0.304446089,0,0,0.022268498,0,0.011764657,0.064389408,0.022268498,0,0.011764657,0.064389408,0.140766295,0.119274171,0.020561145,0,0.092096828,0.167659703,0.319819435,0.033712594
"T31: optic, space, direct",0.313021074,0.040899807,0.129677454,0.0400376,0.15762947,0.600114701,0.088029728,0.305431788,0.011182129,0.343361031,0.11767793,0.02451408,0.094524151,0.285416579,0.169245999,0.129114618,0.333937615,0.012902561,0.037703878,0.020522851,0,0.01366841,0.082140867,0.020522851,0,0.01366841,0.082140867,0.337128045,0.060123315,0.079098691,0.01297473,0.272312747,0.268584863,0.317262179,0.056726375
"T32: qkd, key, protocol",0.36390699,0.156154096,0.327748097,0.18908504,0.212748427,0.412883176,0.053796904,0.372513286,0.084112813,0.389398808,0.130450375,0.101142041,0.143028369,0.103511417,0.1155281,0.322174574,0.351231849,0.037416646,0.230831279,0.053292491,0,0.018161253,0.004012364,0.053292491,0,0.018161253,0.004012364,0.415051011,0.072362534,0.059545613,0.025204879,0.470567877,0.34868035,0.289643561,0.263198972
"T33: qkd, distribut, key",0.374451619,0.151870939,0.3377395,0.201369464,0.204970373,0.347810125,0.070335002,0.40843711,0.065671785,0.413955836,0.161489886,0.118441492,0.152904654,0.086074787,0.100431038,0.360930056,0.330185355,0.03211882,0.176656655,0.051043157,0,0.024588889,0.001626901,0.051043157,0,0.024588889,0.001626901,0.42640749,0.07512174,0.061688713,0.037808511,0.48747251,0.359650149,0.25913109,0.245947643
"T34: qkd, key, optic",0.408468054,0.148750002,0.334587625,0.188071288,0.250503125,0.414829705,0.053276134,0.403878605,0.090097771,0.378287422,0.134530691,0.102271403,0.158732411,0.094935187,0.105681962,0.332014133,0.32314757,0.041710296,0.207985248,0.053337185,0,0.026326747,0.002702847,0.053337185,0,0.026326747,0.002702847,0.457728737,0.060993078,0.059896209,0.022167772,0.466207673,0.35501097,0.238878717,0.258526017
"T35: channel, entangl, show",0,0.010558922,0,0,0,0.030290014,0,0.009046496,0.017498888,0,0,0,0.128739925,0.018991088,0.022668532,0.258367775,0.028532902,0,0.269447967,0.111640829,0,0,0,0.111640829,0,0,0,0.010232621,0.086634077,0,0,0.407898723,0.004666515,0.024308253,0.036371971
"T36: entangl, qkd, state",0.270534614,0.114553749,0.241257836,0.148538318,0.095642934,0.335170557,0.021271358,0.230391323,0.073976415,0.314625295,0.112644141,0.076732844,0.12497356,0.079493351,0.09146495,0.259813097,0.284467217,0.028884711,0.335027214,0.114261072,0,0.030133645,0,0.114261072,0,0.030133645,0,0.265213421,0.128722737,0.030497998,0.054652467,0.390670804,0.250217914,0.301701554,0.180138315
"T37: channel, qkd, learn",0.172934358,0.114806064,0.184013265,0.120621748,0.129374419,0.249072071,0.024394672,0.203645991,0.026095173,0.338349825,0.093552392,0.078090855,0.177676581,0.063205416,0.052410223,0.382366263,0.308653769,0.009268136,0.051079438,0.039029687,0,0,0,0.039029687,0,0,0,0.265764379,0.036690632,0.029292658,0.033053187,0.514249489,0.253771903,0.292602358,0.135979657
"T38: entangl, qkd, scheme",0.172548096,0.101930806,0.165817309,0.104184196,0.147872383,0.260443477,0.05724671,0.247225546,0.032464784,0.319449636,0.104223601,0.065901679,0.114903097,0.041402278,0.052191977,0.202604157,0.302447647,0.013170544,0.362302197,0.151950891,0,0.010616003,0,0.151950891,0,0.010616003,0,0.266859564,0.081794594,0.027704422,0.03533952,0.242711063,0.253214904,0.294257151,0.12906307
"T39: qkd, entangl, state",0.308361563,0.135140589,0.295706358,0.172754391,0.161165948,0.396538816,0.061094947,0.337881903,0.081648377,0.371166506,0.11938777,0.088265351,0.139458498,0.0958695,0.111667192,0.299219614,0.335385058,0.026754378,0.286683383,0.077636667,0,0.018631855,0,0.077636667,0,0.018631855,0,0.335626901,0.092350323,0.042205577,0.04693231,0.461324887,0.322074486,0.318578631,0.229329406
