Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39
"CTP1-T23: key, qkd, transmiss",0.306896947,0.016032634,0.247116716,0.189423801,0.200502859,0.291683808,0.339696958,0.408475559,0.307031437,0.259525497,0.26764454,0.119423437,0.287606556,0.133397802,0.096850802,0.14168308,0.464787266,0.186293101,0.415340207,0.200905283,0.447911194,0.085929259,0,0.170929046,0.499176527,0.340539741,0.173970277,0.393577792,0.472275256,0.178747151,0.40007641,0.031851791,0.202932274,0.204592015,0.619505494,0.225770554,0.385871164,0.110322134,0.028056222
"CTP1-T24: key, qkd, low",0.211912879,0.012154895,0.19675041,0.152326741,0.15179802,0.230812385,0.258373432,0.30964439,0.235089429,0.190610398,0.194869903,0.090327375,0.217016953,0.101615771,0.072926065,0.097832415,0.347414871,0.129084959,0.484108487,0.161559671,0.521890129,0.069100736,0,0.137454028,0.388808852,0.252758574,0.13989966,0.282222719,0.336800909,0.12266969,0.28671925,0.019667287,0.125303072,0.126327899,0.389746282,0.139404853,0.238260979,0.088716471,0.017323665
"CTP1-T25: scheme, channel, transmiss",0.123596331,0.008984193,0.160392506,0.12646733,0.111865814,0.18600545,0.192307528,0.228815336,0.177454395,0.131107498,0.13123834,0.066427847,0.158770833,0.075876113,0.053107065,0.057059899,0.248899844,0.076072766,0.5265597,0.134132852,0.554553183,0.057370003,0,0.11411945,0.340415219,0.178203317,0.116149904,0.229750747,0.261223698,0.072866638,0.233386876,0.015537212,0.098989779,0.099799396,0.293778276,0.110130226,0.188226843,0.073655716,0.013685744
"CTP1-T26: transmiss, feasibl, differ",0.574723282,0.014727483,0.094356493,0.051018787,0.187145217,0.131428569,0.300230388,0.375718112,0.24933354,0.325084296,0.359286772,0.112687683,0.278689186,0.115734951,0.096018423,0.26532869,0.496871564,0.342531964,0.135531084,0.054111171,0.422722001,0.023143905,0,0.04603747,0.137338111,0.389226948,0.046856585,0.056556457,0.209386767,0.315366807,0.057254523,0,0,0,0.185242059,0,0,0.029713802,0
"CTP1-T27: scheme, transmiss, key",0.250869672,0.014154267,0.227257242,0.175661485,0.176808944,0.266867975,0.300708192,0.360585066,0.273301734,0.223177617,0.228512165,0.105227226,0.252917233,0.118235421,0.085020472,0.115817339,0.40554034,0.152717756,0.552782968,0.186308796,0.598830268,0.079686191,0,0.15851044,0.351383329,0.295404755,0.161330714,0.251068032,0.316962243,0.140833584,0.254670423,0.009774458,0.062274455,0.062783785,0.240613545,0.069282909,0.118413479,0.102306836,0.0086097
"CTP1-T28: transmiss, key, scheme",0.259953945,0.016217489,0.272834203,0.212810902,0.202303557,0.318581835,0.345650289,0.413099938,0.316209739,0.247572857,0.251174679,0.12028558,0.288423561,0.136108817,0.096751719,0.120011216,0.458091629,0.158890296,0.461223137,0.225709937,0.449543293,0.096538466,0,0.192032702,0.438883664,0.331292908,0.195449416,0.357313079,0.424575163,0.149484233,0.362808299,0.02106235,0.134191218,0.13528874,0.428031665,0.149293285,0.25516159,0.123942992,0.018552488
"CTP1-T29: space, optic, communic",0.264125581,0.008454873,0.083983853,0.056933166,0.106771504,0.106135693,0.175014013,0.215584065,0.150490394,0.167142263,0.180766036,0.064021477,0.156733923,0.067971311,0.053537957,0.121937107,0.269531636,0.158116171,0.272837285,0.060384037,0.40872069,0.025826875,0,0.051374388,0.480285789,0.206275707,0.052288459,0.328913958,0.394784395,0.159909107,0.335349125,0.046114044,0.293799114,0.296202036,0.838822925,0.326863675,0.558652423,0.033158391,0.040618936
"CTP1-T30: space, optic, technolog",0.345067192,0.008153331,0.040054538,0.016949295,0.103878353,0.060222974,0.16512657,0.208048002,0.135030736,0.187932536,0.209323786,0.062659649,0.155617367,0.063447553,0.053804746,0.159304884,0.281496497,0.205372664,0.063674499,0.017976637,0.248614874,0.007688793,0,0.015294418,0.096395794,0.222498926,0.015566542,0.039659741,0.131065058,0.190523975,0.040335773,0.00362088,0.023069141,0.023257819,0.170400331,0.025665374,0.043865454,0.009871422,0.003189404
"CTP1-T31: optic, space, direct",0.083368755,0.007994787,0.154786107,0.123719057,0.099276849,0.177929871,0.172203008,0.203571505,0.160884547,0.108789281,0.106474665,0.058840891,0.139968174,0.068138504,0.04661751,0.038488301,0.215133385,0.052114518,0.280481111,0.131217999,0.238573242,0.05612329,0,0.11163951,0.505729858,0.151632692,0.11362584,0.405158509,0.422986989,0.060847255,0.412554496,0.04649739,0.296241461,0.298664358,0.78682767,0.329580887,0.56329649,0.072055097,0.040956601
"CTP1-T32: qkd, key, protocol",0.039579289,0.001989423,0.029985228,0.022875755,0.024894737,0.035495595,0.042091171,0.05068858,0.037930987,0.032646844,0.033791099,0.014834036,0.035762056,0.016517984,0.012053887,0.018272308,0.058031179,0.02399307,0.423705587,0.024262316,0.50613042,0.010377242,0,0.020642237,0.171401188,0.042647003,0.021009511,0.063525172,0.073433987,0.023868672,0.064650342,0.006621525,0.042186672,0.042531708,0.120979678,0.046934419,0.08021701,0.013323047,0.005832481
"CTP1-T33: qkd, distribut, key",0.08780246,0.004496467,0.068521504,0.052398211,0.05624999,0.080997804,0.095200612,0.114562826,0.085915833,0.073298249,0.075733399,0.033510812,0.080747015,0.03737215,0.027204191,0.04053518,0.130766275,0.053260531,0.466426061,0.055574206,0.549602346,0.023769661,0,0.047282212,0.228896366,0.095958523,0.048123474,0.113264798,0.135734787,0.051288626,0.115155937,0.00957308,0.060991447,0.061490283,0.184763164,0.067855509,0.115973867,0.030517192,0.008432318
"CTP1-T34: qkd, key, optic",0.075706522,0.00461976,0.076970466,0.059926661,0.057645523,0.089980405,0.098396138,0.117679615,0.089891521,0.071014355,0.072191571,0.034281771,0.082243098,0.038733882,0.027600834,0.034950928,0.130888553,0.046230918,0.227216704,0.063558975,0.245408544,0.027184829,0,0.054075606,0.451855811,0.09480499,0.055037739,0.335400442,0.351128795,0.056696775,0.341943984,0.046663675,0.297300891,0.299732453,0.787075803,0.330759547,0.565310973,0.034901829,0.041103071
"CTP1-T35: channel, entangl, show",0.00908968,0.000192286,0.000513516,0,0.002459478,0.000976595,0.00385591,0.004908163,0.003078239,0.004713904,0.005305316,0.001487456,0.003717157,0.001474219,0.001291839,0.004196372,0.006866005,0.005400562,0.001099765,0,0.006379607,0,0,0,0.446498848,0.005495709,0,0.343205563,0.339952901,0.024324925,0.350508885,0.059542992,0.379356843,0.382459524,0.97610465,0.42205019,0.721338525,0,0.052447644
"CTP1-T36: entangl, qkd, state",0.21376898,0.011128339,0.171185252,0.131165028,0.139177725,0.202109607,0.235755252,0.283526386,0.213028417,0.180360141,0.186064128,0.08290011,0.199666418,0.092574714,0.067242736,0.098689309,0.322790508,0.12974617,0.195531744,0.13911529,0.199785254,0.059501043,0,0.11835848,0.491968136,0.236566244,0.120464356,0.402345708,0.455029941,0.131777976,0.409608072,0.044577372,0.284008759,0.286331607,0.797476748,0.315971499,0.540036281,0.076391698,0.039265379
"CTP1-T37: channel, qkd, learn",0,0.000129407,0.003116743,0.002569364,0.00159328,0.00350918,0.002841801,0.003292823,0.002754872,0.001361414,0.001200694,0.000938665,0.002198787,0.001134276,0.000722074,0,0.003160013,5.36144E-05,0.003323586,0.0027251,0.000974565,0.001165553,0,0.002318499,0.341054597,0.002102258,0.002359751,0.263925231,0.259614573,0.014709809,0.269516035,0.045294443,0.288577317,0.290937531,0.740295605,0.321054209,0.548723292,0.001496421,0.039897001
"CTP1-T38: entangl, qkd, scheme",0.180481376,0.013101408,0.233785482,0.184321363,0.163133387,0.271132928,0.280427059,0.33367568,0.258749714,0.191262831,0.191475935,0.096872437,0.231543333,0.110642428,0.077450488,0.083321641,0.363022269,0.111077801,0.402184519,0.195493572,0.367794147,0.083614615,0,0.166324794,0.4818758,0.259932832,0.169284104,0.391721799,0.436744618,0.109593495,0.398231472,0.032511103,0.207132846,0.208826943,0.58953568,0.230443865,0.393858459,0.107350427,0.028636968
"CTP1-T39: qkd, entangl, state",0.134405506,0.007989764,0.131545362,0.102183064,0.099731718,0.153999877,0.170033662,0.203529958,0.155077359,0.123845773,0.126198943,0.059324922,0.142409401,0.066908632,0.047818623,0.0620501,0.22719793,0.081988219,0.464677474,0.108376652,0.514593125,0.04635381,0,0.092206225,0.35121428,0.164869225,0.093846791,0.233751797,0.267569654,0.080540122,0.23771365,0.02090175,0.13316801,0.134257164,0.384940627,0.148154923,0.253215983,0.05951234,0.018411025
